trade_date,pe
20200102,114.64
20200103,114.34
20200106,115.38
20200107,114.94
20200108,111.57
20200109,114.2
20200110,116.26
20200113,121.37
20200114,119.76
20200115,123.63
20200116,124.04
20200117,122.81
20200120,125.11
20200121,125.32
20200122,131.67
20200123,128.51
20200203,115.91
20200204,118.63
20200205,119.46
20200206,124.18
20200207,129.85
20200210,128.57
20200211,129.22
20200212,133.73
20200213,137.57
20200214,140.99
20200217,145.25
20200218,152.68
20200219,153.35
20200220,156.49
20200221,161.21
20200224,171.77
20200225,174.07
20200226,159.76
20200227,154.41
20200228,143.4
20200302,144.79
20200303,145.17
20200304,141.08
20200305,143.11
20200306,140.4
20200309,129.92
20200310,139.72
20200311,134.32
20200312,135.59
20200313,139.88
20200316,130.92
20200317,132.46
20200318,130.67
20200319,136.69
20200320,134.01
20200323,122.58
20200324,122.9
20200325,124.8
20200326,122.54
20200327,119.72
20200330,115.38
20200331,111.29
20200401,113.71
20200402,122.05
20200403,121.95
20200407,124.72
20200408,125.22
20200409,123.95
20200410,117.9
20200413,115.51
20200414,119.51
20200415,119.87
20200416,121.58
20200417,124.45
20200420,126.73
20200421,124.7
20200422,126.28
20200423,124.87
20200424,116.45
20200427,113.87
20200428,113.59
20200429,113.87
20200430,122.83
20200506,115.63
20200507,114.62
20200508,115.21
20200511,114.31
20200512,118.26
20200513,117.94
20200514,118.11
20200515,122.73
20200518,119.86
20200519,127.23
20200520,123.34
20200521,120.15
20200522,120.5
20200525,119.39
20200526,122.59
20200527,119.68
20200528,118.13
20200529,117.41
20200601,123.22
20200602,124.47
20200603,124.7
20200604,123.25
20200605,124.68
20200608,121.55
20200609,120.11
20200610,118.65
20200611,118.34
20200612,117.54
20200615,114.24
20200616,116.91
20200617,116.07
20200618,119.42
20200619,119.66
20200622,124.87
20200623,125.75
20200624,128.13
20200629,126.83
20200630,129.67
20200701,131.48
20200702,135.5
20200703,136.99
20200706,147.21
20200707,150.08
20200708,155.44
20200709,160.56
20200710,165.0
20200713,171.92
20200714,170.01
20200715,161.59
20200716,147.28
20200717,145.0
20200720,148.44
20200721,147.23
20200722,148.39
20200723,147.99
20200724,138.53
20200727,140.94
20200728,140.53
20200729,147.37
20200730,146.29
20200731,151.44
20200803,159.99
20200804,154.61
20200805,157.56
20200806,159.98
20200807,155.37
20200810,153.88
20200811,150.51
20200812,150.61
20200813,149.13
20200814,151.3
20200817,154.29
20200818,153.81
20200819,147.26
20200820,145.84
20200821,144.42
20200824,145.01
20200825,143.92
20200826,138.97
20200827,143.08
20200828,143.85
20200831,142.38
20200901,114.53
20200902,112.71
20200903,112.43
20200904,115.24
20200907,111.37
20200908,109.72
20200909,104.38
20200910,102.35
20200911,104.85
20200914,106.95
20200915,107.88
20200916,106.87
20200917,109.24
20200918,110.25
20200921,110.57
20200922,108.25
20200923,109.45
20200924,107.39
20200925,106.03
20200928,104.28
20200929,106.57
20200930,106.39
20201009,109.38
20201012,115.23
20201013,114.83
20201014,112.44
20201015,111.3
20201016,110.97
20201019,110.21
20201020,111.05
20201021,106.92
20201022,106.56
